dataset,system,original_case_count,excluded_case_count,case_count,completed_count,success_rate,schema_compliance_rate,normalized_micro_precision,normalized_micro_recall,normalized_micro_f1,normalized_macro_f1,normalized_document_exact_match,strict_micro_f1,strict_macro_f1,strict_document_exact_match,duration_mean_ms,duration_p95_ms,total_credits
sroie,moi,100,0,100,100,1.0,1.0,0.8015267175572519,0.7875,0.7944514501891551,0.7946424039388864,0.43,0.5346784363177807,0.5351758793969849,0.03,16140.0,26000.0,
sroie,landingai,100,0,100,100,1.0,1.0,0.9022556390977443,0.9,0.9011264080100125,0.901180904522613,0.69,0.6933667083854819,0.6935678391959799,0.24,21942.78,28245.0,359.8000000000001
vrdu,moi,100,3,97,97,1.0,1.0,0.7026378896882494,0.6689497716894978,0.6853801169590643,0.6839869805436275,0.14432989690721648,0.6409356725146199,0.6456926246073992,0.09278350515463918,17175.25773195876,30000.0,
vrdu,landingai,100,3,97,97,1.0,1.0,0.6600790513833992,0.7625570776255708,0.7076271186440677,0.6832465485434623,0.10309278350515463,0.6334745762711865,0.6206423941784923,0.061855670103092786,30965.82474226804,70435.0,759.0000000000005
kleister,moi,100,0,100,100,1.0,1.0,0.4192872117400419,0.5025125628140703,0.45714285714285713,0.5248399865533631,0.05,0.24228571428571427,0.4132307643828926,0.0,26640.0,46000.0,
kleister,landingai,100,0,100,100,1.0,1.0,0.45295404814004375,0.5201005025125628,0.4842105263157895,0.5419253327636713,0.02,0.2573099415204678,0.4269064147743833,0.0,31965.32,47586.0,2147.7000000000003
