dataset,system,field_decision_count,correct,wrong_value,missing_field,false_positive,array_missing_item,array_extra_item,array_missing_and_extra,system_failure
sroie,moi,400,315,78,7,0,0,0,0,0
sroie,landingai,400,360,39,1,0,0,0,0,0
vrdu,moi,582,407,94,51,30,0,0,0,0
vrdu,landingai,582,407,101,3,71,0,0,0,0
kleister,moi,400,191,76,18,31,1,6,77,0
kleister,landingai,400,207,86,7,19,0,4,77,0
