dataset,system,gold_empty_count,empty_correct_count,empty_correct_rate,hallucination_count,hallucination_rate,gold_nonempty_count,nonempty_correct_count,nonempty_correct_rate,missing_count,missing_rate,wrong_value_count,wrong_value_rate
sroie,moi,0,0,0.0,0,0.0,400,315,0.7875,7,0.0175,78,0.195
sroie,landingai,0,0,0.0,0,0.0,400,360,0.9,1,0.0025,39,0.0975
vrdu,moi,144,114,0.7916666666666666,30,0.20833333333333334,438,293,0.6689497716894978,51,0.11643835616438356,94,0.2146118721461187
vrdu,landingai,144,73,0.5069444444444444,71,0.4930555555555556,438,334,0.7625570776255708,3,0.00684931506849315,101,0.23059360730593606
kleister,moi,95,64,0.6736842105263158,31,0.3263157894736842,305,127,0.4163934426229508,18,0.05901639344262295,160,0.5245901639344263
kleister,landingai,95,76,0.8,19,0.2,305,131,0.42950819672131146,7,0.022950819672131147,167,0.5475409836065573
